,artifact_id,release_id,version,timestamp,popularity,scm_url
35679,com.agorapulse:micronaut-newrelic,com.agorapulse:micronaut-newrelic:2.0.5,2.0.5,1721398603000,0,https://github.com/agorapulse/micronaut-newrelic.git
350356,io.github.chenhanhui:security-api-spring-boot-starter,io.github.chenhanhui:security-api-spring-boot-starter:1.0.1,1.0.1,1723473780000,0,https://github.com/ChenHanHui/SecurityApi
218340,com.casadetasha:kexportable,com.casadetasha:kexportable:0.1.0,0.1.0,1655791954000,0,https://github.com/konk3r/kexportable
204725,io.github.woody230.ktx:ktor-client,io.github.woody230.ktx:ktor-client:6.3.0,6.3.0,1718493266000,0,https://github.com/Woody230/KotlinExtensions
280380,org.feijoas:mango_2.11,org.feijoas:mango_2.11:0.13,0.13,1479399571000,0,https://github.com/feijoas/mango.git
252663,com.themillhousegroup:scala-thumbnailer_2.12,com.themillhousegroup:scala-thumbnailer_2.12:0.5.1,0.5.1,1619748118000,0,https://github.com/themillhousegroup/scala-thumbnailer
215127,org.webjars.bowergithub.kevva:strict-uri-encode,org.webjars.bowergithub.kevva:strict-uri-encode:1.1.0,1.1.0,1528798471000,0,https://github.com/kevva/strict-uri-encode
11794,io.floodplain:floodplain-mongodb,io.floodplain:floodplain-mongodb:1.13.0,1.13.0,1682411419000,0,https://github.com/floodplainio/floodplainio/floodplain-library
80187,com.skylarwatson:blinky,com.skylarwatson:blinky:1.2.2,1.2.2,1528313303000,0,git@github.com:SkylarWatson/blinky.git
37981,com.liferay:com.liferay.adaptive.media.image.api,com.liferay:com.liferay.adaptive.media.image.api:14.0.0,14.0.0,1714688292000,0,http://github.com/liferay/liferay-portal
286328,com.inkapplications.kimchi:core-watchosarm64,com.inkapplications.kimchi:core-watchosarm64:2.2.0,2.2.0,1716740638000,0,https://github.com/InkApplications/Kimchi
339821,com.konyaco:fluent-desktop,com.konyaco:fluent-desktop:0.0.1-dev.8,0.0.1-dev.8,1717080721000,1,https://github.com/Konyaco/compose-fluent-ui
10009,com.daml:participant-state_2.12,com.daml:participant-state_2.12:1.18.3,1.18.3,1656624432000,0,https://github.com/digital-asset/daml/tree/main
104630,org.microg.gms:play-services-safetynet-core,org.microg.gms:play-services-safetynet-core:0.3.2.240913,0.3.2.240913,1715865815000,1,https://github.com/microg/GmsCore
305011,io.github.codestory-product:codestory-tcpcommon,io.github.codestory-product:codestory-tcpcommon:1.7,1.7,1641267643000,0,https://github.com/codestory-product/CodeStoryTCPServerCommon.git
348508,com.hanggrian.rulebook:rulebook-codenarc,com.hanggrian.rulebook:rulebook-codenarc:0.1,0.1,1722378742000,0,https://github.com/hanggrian/rulebook/
112204,com.github.franket268.logisticstimeline:library,com.github.franket268.logisticstimeline:library:1.0,1.0,1431694949000,0,https://github.com/franket268/LogisticsTimeLine
189581,io.kestra.plugin:plugin-amqp,io.kestra.plugin:plugin-amqp:0.18.0,0.18.0,1722972008000,0,https://github.com/kestra-io/plugin-amqp
118303,org.scalaz:scalaz-core_native0.4.0-M2_2.11,org.scalaz:scalaz-core_native0.4.0-M2_2.11:7.3.1,7.3.1,1589928068000,0,https://github.com/scalaz/scalaz
201870,com.github.jond3k:hashring,com.github.jond3k:hashring:1.0,1.0,1352996077000,0,https://github.com/${github.owner}/${project.artifactId}
12257,com.daml:telemetry-test-lib_2.13,com.daml:telemetry-test-lib_2.13:2.6.0-snapshot.20230110.11227.0.87cd22ef,2.6.0-snapshot.20230110.11227.0.87cd22ef,1674658973000,0,https://github.com/digital-asset/daml/tree/main
311042,com.google.devtools.ksp:symbol-processing-common-deps,com.google.devtools.ksp:symbol-processing-common-deps:2.0.20-1.0.24,2.0.20-1.0.24,1724355367000,3,https://github.com/google/ksp
266476,io.github.kevinschildhorn:atomik-iosx64,io.github.kevinschildhorn:atomik-iosx64:0.0.6,0.0.6,1685563814000,0,https://github.com/KevinSchildhorn/Atomik/
269574,net.unit8.jackson.dataformat:jackson-dataformat-serverlog,net.unit8.jackson.dataformat:jackson-dataformat-serverlog:0.1.0,0.1.0,1531259573000,0,https://github.com/kawasima/jackson-dataformat-serverlog
304968,com.dimajix.flowman.maven:flowman-provider-azure,com.dimajix.flowman.maven:flowman-provider-azure:0.4.0,0.4.0,1691998391000,0,https://github.com/dimajix/flowman-maven/tree/main/flowman-provider-azure
